Initial_POC_Density,Ext_O2,Ext_NO3,Mort_Amp,Radius_mm,N2O_Net_Domain_SMS_mmol_s,N2O_Net_Core_SMS_mmol_s,N2_Net_Domain_SMS_mmol_s,Frac_Anoxic_Core,Total_Bio_Core_mmol,Bio_Growth_Factor,Dominant_Bug,Bio_Core_aer_mmol,Bio_Core_nar_mmol,Bio_Core_nai_mmol,Bio_Core_nao_mmol,Bio_Core_nir_mmol,Bio_Core_nio_mmol,Bio_Core_nos_mmol,Bio_Core_aoa_mmol,Bio_Core_nob_mmol,Bio_Core_aox_mmol,Bio_Core_zoo_mmol,GrowthRate_aer_perday,GrowthRate_nar_perday,GrowthRate_nai_perday,GrowthRate_nao_perday,GrowthRate_nir_perday,GrowthRate_nio_perday,GrowthRate_nos_perday,GrowthRate_aoa_perday,GrowthRate_nob_perday,GrowthRate_aox_perday,GrowthRate_zoo_perday,Elapsed_s
850000.0,2.846153736114502,10.0,1.0,0.8846153616905212,9.712865060851339e-12,9.712865060851339e-12,2.5796070141081984e-11,0.7740113139152527,6.785273853893159e-08,1.577973484992981,aer,3.499492606806598e-08,3.5505025586246575e-09,4.868639269517416e-09,5.059382246486166e-09,2.613250504879261e-09,2.6517172901918684e-09,3.042748941695095e-09,4.536800712884315e-09,3.860237018926682e-09,2.674531041080286e-09,0.0,40.75518035888672,44.92619323730469,87.03547668457031,93.64205932617188,5.734828948974609,8.266845703125,32.18621063232422,45.152950286865234,37.69889831542969,7.865044116973877,0.0,2122.9842747920193
850000.0,2.846153736114502,10.0,1.0,0.9230769276618958,1.0422072926896675e-11,1.0422072926896675e-11,2.832850447276325e-11,0.790960431098938,7.310856631193019e-08,1.56147038936615,aer,3.744575494124547e-08,3.865104680755849e-09,5.30016786015608e-09,5.5118416497634826e-09,2.8481492719834023e-09,2.8909032945279023e-09,3.3253144682277025e-09,4.854169510792872e-09,4.154809829515216e-09,2.912347474293142e-09,0.0,38.754459381103516,44.90061569213867,86.98591613769531,93.70683288574219,5.876702785491943,8.471359252929688,32.828250885009766,43.10886001586914,36.10772705078125,7.935035228729248,0.0,2088.700465291273
850000.0,2.846153736114502,10.0,1.0,0.9615384340286255,1.1150380098412516e-11,1.1150380098412516e-11,3.101360487867133e-11,0.8022599220275879,7.854478667468356e-08,1.5460566282272339,aer,3.996404274175802e-08,4.193490443782366e-09,5.7497984151666515e-09,5.98358118608644e-09,3.0934743655564034e-09,3.1406535150324544e-09,3.621034361245279e-09,5.179430662138884e-09,4.458842184362766e-09,3.1604447947586323e-09,0.0,36.9436149597168,44.87424850463867,86.9348373413086,93.76774597167969,6.047603130340576,8.7177152633667,33.449745178222656,41.09436798095703,34.52743911743164,8.03372859954834,0.0,2046.105550791137
850000.0,2.846153736114502,10.0,1.0,1.0,1.189257806816224e-11,1.189257806816224e-11,3.3850630631881984e-11,0.8022599220275879,8.416721897219759e-08,1.531737208366394,aer,4.2554805901318105e-08,4.535234854330383e-09,6.217485637449727e-09,6.474885516638551e-09,3.3491045492439753e-09,3.4011409244527613e-09,3.9298924114916645e-09,5.513445255900251e-09,4.7722163998287215e-09,3.419007077454239e-09,0.0,35.25178909301758,44.84748077392578,86.88298034667969,93.8246078491211,6.204278945922852,8.943565368652344,34.04544448852539,39.21316146850586,33.079498291015625,8.163233757019043,0.0,2012.9942054580897
850000.0,4.692307472229004,10.0,1.0,0.5,3.651535237375603e-12,3.651535237375603e-12,7.419029800226351e-12,0.11299435049295425,2.857423986313279e-08,2.0800604820251465,aer,1.743786626207111e-08,1.135889160508441e-09,1.5595245095312293e-09,1.6021173276925538e-09,8.299787523924351e-10,8.406689788742483e-10,9.260243127862111e-10,1.913387670526845e-09,1.4695666905595317e-09,8.59215365522914e-10,0.0,115.14216613769531,45.200069427490234,87.56605529785156,92.88333892822266,3.334285020828247,4.806424140930176,23.58510398864746,89.984619140625,75.10778045654297,7.635351657867432,0.0,2754.2986294580624
850000.0,4.692307472229004,10.0,1.0,0.5384615659713745,4.142176619065241e-12,4.142176619065241e-12,8.663281897414166e-12,0.24858756363391876,3.276075233316078e-08,2.0562961101531982,aer,1.9908132031787318e-08,1.316973530229859e-09,1.8082152442033816e-09,1.8612907881632168e-09,9.62094404144409e-10,9.743125195527114e-10,1.0806529004980803e-09,2.165531087783279e-09,1.6881085418418706e-09,9.954409518897478e-10,0.0,108.8101577758789,45.18422317504883,87.53534698486328,93.05579376220703,3.2318201065063477,4.658719539642334,24.647592544555664,86.02459716796875,73.04072570800781,7.411599159240723,0.0,2645.3272442915477
850000.0,4.692307472229004,10.0,1.0,0.5769230723381042,4.6551495297419976e-12,4.6551495297419976e-12,1.0011493370432056e-11,0.3050847351551056,3.7142147135682535e-08,2.030824661254883,aer,2.2455543202681838e-08,1.5118050145090933e-09,2.07529593510003e-09,2.139784349708407e-09,1.1038796543516582e-09,1.1176234382404004e-09,1.247727698938661e-09,2.429465517650442e-09,1.9196151335165723e-09,1.1414018619149147e-09,0.0,102.53577423095703,45.16725158691406,87.50247955322266,93.20216369628906,3.145643711090088,4.534494400024414,25.637861251831055,82.2806625366211,70.97344207763672,7.223203659057617,0.0,2571.3901382922195
850000.0,4.692307472229004,10.0,1.0,0.6153846383094788,5.1965935894682236e-12,5.1965935894682236e-12,1.1493202223267218e-11,0.40112996101379395,4.17188772416921e-08,2.0048439502716064,aer,2.5081007493099605e-08,1.7198397150863798e-09,2.3607287236160346e-09,2.437700041824087e-09,1.255422654722338e-09,1.2706220520186662e-09,1.4271551718181286e-09,2.705496493504711e-09,2.163708989755264e-09,1.2971956842022792e-09,0.0,96.7364501953125,45.14906692504883,87.46724700927734,93.32568359375,3.1690309047698975,4.568207263946533,26.55447769165039,78.80365753173828,68.29150390625,7.16702938079834,0.0,2488.1352597908117
850000.0,4.692307472229004,10.0,1.0,0.6538461446762085,5.761779074686668e-12,5.761779074686668e-12,1.3078737745586544e-11,0.44632768630981445,4.647223406095691e-08,1.978261113166809,aer,2.7768194854616013e-08,1.9414763130498613e-09,2.664451770328924e-09,2.754823036354992e-09,1.4166311457231018e-09,1.4333401132660128e-09,1.6191841201163015e-09,2.9921349842254585e-09,2.4191000314033317e-09,1.4628981359621207e-09,0.0,91.28177642822266,45.1295280456543,87.42939758300781,93.4339828491211,3.256319761276245,4.694035053253174,27.43191146850586,75.54354095458984,65.71622467041016,7.073404788970947,0.0,2424.649667208083
850000.0,4.692307472229004,10.0,1.0,0.692307710647583,6.3489708282404855e-12,6.3489708282404855e-12,1.477342206901433e-11,0.4858756959438324,5.1394948741290136e-08,1.9514769315719604,aer,3.0510282300610925e-08,2.1763930657670016e-09,2.9867095463487203e-09,3.0913511750441103e-09,1.5875848413671179e-09,1.60611213217976e-09,1.8239130206154641e-09,3.2885290046635873e-09,2.6855204726672355e-09,1.6385554024722637e-09,0.0,86.25648498535156,45.1090202331543,87.38966369628906,93.53020477294922,3.371433734893799,4.859974384307861,28.273420333862305,72.10700988769531,63.02338790893555,6.971390247344971,0.0,2364.374558582902
